"huc12"	"nwis"
"070200121110"	"05330920"
"070700051701"	"05407000"
"031601130201"	"02465000"
"160201020603"	"10141000"
"020401050911"	"01463500"
"102600080802"	"06877600"
"180201041203"	"11390500"
"170601080803"	"13351000"
"150302040410"	"09426620"
"101102050210"	"06337000"
"120302030102"	"08066500"
"130201011304"	"08313000"
"051202021001"	"03374000"
"051302050708"	"03438220"
"050200050808"	"03085000"
"140100051906"	"09163500"
"100301012008"	"06066500"
"170900120202"	"14211720"
"180400012103"	"11261500"
"010300032404"	"01049265"
"102200031006"	"06800500"
"071000091206"	"05490500"
"030701060405"	"02226000"
"030300050405"	"02105769"
"110100040606"	"07061000"
"100800071208"	"06274300"
"150100120904"	"09419507"
